;frame_st;frame_end;date;time;type;Z;tk_min;tk_max;amplitude;middle;jumps;other;file_name;file_source
0;0;640;15.04.2016;;οπτ.;;42.71222076;85.87122208;43.15900131;47.18002628;1;;_273_ 15.04.2016 9_59_13.gps;gps, dat
1;2447;2865;15.04.2016;;οπτ.;;42.71222076;73.9868594;31.27463863;62.54927727;1;;_273_ 15.04.2016 9_59_13.gps;gps, dat
2;3167;5601;15.04.2016;;οπτ.;;39.67411301;73.9868594;34.31274639;58.61760841;1;;_273_ 15.04.2016 9_59_13.gps;gps, dat
3;0;4135;13.04.2016;;οπτ.;;56.8304862;89.62417871;32.79369251;77.73981603;1;;_239_ 13.04.2016 13_34_34.gps;gps, dat
4;0;1;14.04.2016;;οπτ.;;87.8370565;172.2785808;84.44152431;130.0578187;1;;_246_ 14.04.2016 8_54_32.gps;gps, dat
5;1505;3262;11.04.2016;;οπτ.;;58.08147175;87.12220762;29.04073587;68;2;;_209_ 11.04.2016 5_53_18.gps;gps, dat
6;3865;5976;11.04.2016;;οπτ.;;55.04336399;88.10512484;33.06176084;64.78318003;2;;_209_ 11.04.2016 5_53_18.gps;gps, dat
7;7783;9369;11.04.2016;;οπτ.;;57.09855453;86.13929041;29.04073587;79.88436268;1;;_209_ 11.04.2016 5_53_18.gps;gps, dat
8;1204;4543;11.04.2016;;οπτ.;;46.91195795;81.40341656;34.49145861;68.80420499;1;;_210_ 11.04.2016 6_39_15.gps;gps, dat
9;5447;14559;11.04.2016;;οπτ.;;56.38370565;90.16031537;33.77660972;72.19973719;2;;_210_ 11.04.2016 6_39_15.gps;gps, dat
10;19075;19394;11.04.2016;;οπτ.;;47.62680683;81.22470434;33.5978975;76.93561104;1;;_210_ 11.04.2016 6_39_15.gps;gps, dat
11;1204;1568;11.04.2016;;οπτ.;;36.1892247;86.85413929;50.66491459;73.27201051;1;;_211_ 11.04.2016 7_07_11.gps;gps, dat
12;0;28352;10.04.2016;;οπτ.;;29.3088042;85.15637319;55.84756899;60.31537451;1;;_204_ 10.04.2016 13_37_41.gps;gps, dat
13;34072;62052;10.04.2016;;οπτ.;;48.87779238;90.78580815;41.90801577;76.75689882;4;;_204_ 10.04.2016 13_37_41.gps;gps, dat
14;0;5914;14.04.2016;;οπτ.;;0.446780552;101.3298292;100.8830486;75.95269382;1;;_244_ 14.04.2016 8_37_24.gps;gps, dat
15;7224;7561;09.04.2016;;οπτ.;;41.63994744;63.62155059;21.98160315;51.20105125;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
16;9368;9771;09.04.2016;;οπτ.;;41.72930355;68;26.27069645;62.0131406;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
17;10374;10914;09.04.2016;;οπτ.;;39.49540079;69.42969777;29.93429698;63.53219448;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
18;12119;14660;09.04.2016;;οπτ.;;40.21024967;73.71879106;33.50854139;47.3587385;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
19;15564;19670;09.04.2016;;οπτ.;;37.97634691;86.13929041;48.1629435;74.43363995;2;;_19_ 09.04.2016 10_24_20.gps;gps, dat
20;22982;24690;09.04.2016;;οπτ.;;44.49934297;79.88436268;35.38501971;71.4848883;3;;_19_ 09.04.2016 10_24_20.gps;gps, dat
21;24992;26528;09.04.2016;;οπτ.;;49.68199737;77.20367937;27.521682;73.54007884;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
22;26830;27535;09.04.2016;;οπτ.;;44.85676741;77.4717477;32.61498029;72.73587385;2;;_19_ 09.04.2016 10_24_20.gps;gps, dat
23;28740;32174;09.04.2016;;οπτ.;;41.19316689;76.39947438;35.20630749;55.31143233;2;;_19_ 09.04.2016 10_24_20.gps;gps, dat
24;32476;32874;09.04.2016;;οπτ.;;47.44809461;74.25492773;26.80683311;52.36268068;1;;_19_ 09.04.2016 10_24_20.gps;gps, dat
25;0;1753;09.04.2016;;οπτ.;;8.667542707;83.63731932;74.96977661;62.72798949;1;;_195_ 09.04.2016 14_00_20.gps;gps, dat
26;5968;18033;09.04.2016;;οπτ.;;47.89487516;90.3390276;42.44415243;64.78318003;4;;_195_ 09.04.2016 14_00_20.gps;gps, dat
27;19840;20623;09.04.2016;;οπτ.;;50.39684625;83.19053876;32.79369251;57.09855453;1;;_195_ 09.04.2016 14_00_20.gps;gps, dat
28;0;1094;13.04.2016;;οπτ.;;12.68856767;77.02496715;64.33639947;15.4586071;1;;_238_ 13.04.2016 13_27_44.gps;gps, dat
