gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_2_ 09.04.2016 5_24_49.gps;13;51.85538333;104.9734733;13;2.72;6.13;30
_2_ 09.04.2016 5_24_49.gps;28;51.85540833;104.9735983;28;2.77;6.11;30
_2_ 09.04.2016 5_24_49.gps;45;51.85543;104.97372;45;2.86;6.11;29
_2_ 09.04.2016 5_24_49.gps;61;51.855455;104.9738417;61;2.91;6.11;28
_2_ 09.04.2016 5_24_49.gps;76;51.85547833;104.9739633;76;3;6.08;27
_2_ 09.04.2016 5_24_49.gps;110;51.8555;104.9740867;110;2.8;6.77;35
_2_ 09.04.2016 5_24_49.gps;128;51.855525;104.9742083;128;2.8;6.33;31
_2_ 09.04.2016 5_24_49.gps;146;51.85555167;104.97433;146;2.94;6.75;34
_2_ 09.04.2016 5_24_49.gps;164;51.85556833;104.9744617;164;3;6.61;32
_2_ 09.04.2016 5_24_49.gps;183;51.85558833;104.9745833;183;2.91;6.8;35
_2_ 09.04.2016 5_24_49.gps;220;51.85560833;104.9747067;220;3.05;6.05;27
_2_ 09.04.2016 5_24_49.gps;238;51.85563333;104.9748267;238;2.94;6.3;30
_2_ 09.04.2016 5_24_49.gps;256;51.85565833;104.97495;256;2.94;6.33;30
_2_ 09.04.2016 5_24_49.gps;275;51.85568333;104.97507;275;3.02;6.86;34
_2_ 09.04.2016 5_24_49.gps;292;51.85570833;104.975195;292;3.05;6.47;30
_2_ 09.04.2016 5_24_49.gps;330;51.85573333;104.9753133;330;2.94;6.38;30
_2_ 09.04.2016 5_24_49.gps;348;51.85575833;104.975435;348;2.88;6.75;34
_2_ 09.04.2016 5_24_49.gps;366;51.855785;104.9755583;366;3.02;6.47;31
_2_ 09.04.2016 5_24_49.gps;384;51.85581;104.9756783;384;2.97;6.52;31
_2_ 09.04.2016 5_24_49.gps;402;51.85583667;104.9757983;402;2.88;6.36;31
_2_ 09.04.2016 5_24_49.gps;432;51.855865;104.97592;432;2.88;5.97;27
_2_ 09.04.2016 5_24_49.gps;450;51.85589167;104.9760433;450;2.88;5.8;26
_2_ 09.04.2016 5_24_49.gps;468;51.85591833;104.97617;468;2.88;6.02;28
_2_ 09.04.2016 5_24_49.gps;486;51.855945;104.976295;486;2.88;6.08;28
_2_ 09.04.2016 5_24_49.gps;504;51.855975;104.9764217;504;2.88;6.33;31
_2_ 09.04.2016 5_24_49.gps;542;51.856005;104.9765433;542;2.86;6.41;31
_2_ 09.04.2016 5_24_49.gps;559;51.856035;104.9766633;559;2.86;5.97;27
_2_ 09.04.2016 5_24_49.gps;576;51.85606833;104.97678;576;2.88;6.25;30
_2_ 09.04.2016 5_24_49.gps;594;51.85610167;104.9768967;594;2.88;6.36;31
_2_ 09.04.2016 5_24_49.gps;613;51.856135;104.977015;613;2.94;6.72;34
_2_ 09.04.2016 5_24_49.gps;650;51.85616667;104.9771333;650;2.91;5.94;27
_2_ 09.04.2016 5_24_49.gps;668;51.85619833;104.9772517;668;2.88;6.44;32
_2_ 09.04.2016 5_24_49.gps;684;51.85622833;104.9773733;684;3;6.61;32
_2_ 09.04.2016 5_24_49.gps;702;51.85626;104.9774917;702;3.08;6.44;30
_2_ 09.04.2016 5_24_49.gps;720;51.85629167;104.9776117;720;3.02;6.5;31
_2_ 09.04.2016 5_24_49.gps;755;51.85632167;104.9777333;755;3.11;6.58;31
_2_ 09.04.2016 5_24_49.gps;773;51.856355;104.9778583;773;3.08;6.27;28
_2_ 09.04.2016 5_24_49.gps;791;51.85638667;104.97798;791;3.02;6.41;30
_2_ 09.04.2016 5_24_49.gps;809;51.856415;104.9780983;809;3.08;6.11;27
_2_ 09.04.2016 5_24_49.gps;827;51.85644333;104.9782117;827;3.08;5.8;24
_2_ 09.04.2016 5_24_49.gps;865;51.85647167;104.9783283;865;3.11;6.22;27
_2_ 09.04.2016 5_24_49.gps;883;51.85650167;104.978445;883;3;6.22;28
_2_ 09.04.2016 5_24_49.gps;901;51.85653167;104.9785633;901;2.94;6.36;30
_2_ 09.04.2016 5_24_49.gps;919;51.85656167;104.978685;919;3;6.41;30
_2_ 09.04.2016 5_24_49.gps;937;51.85659333;104.97881;937;3.02;6.16;28
_2_ 09.04.2016 5_24_49.gps;975;51.85662167;104.9789317;975;3.05;6.91;34
_2_ 09.04.2016 5_24_49.gps;993;51.85665333;104.979055;993;3;6.66;32
_2_ 09.04.2016 5_24_49.gps;1008;51.85668333;104.979175;1008;2.94;6.66;33
_2_ 09.04.2016 5_24_49.gps;1023;51.85671;104.9792967;1023;2.94;6.47;31
_2_ 09.04.2016 5_24_49.gps;1056;51.85717167;104.9814067;1056;3.05;6.22;28
_2_ 09.04.2016 5_24_49.gps;1079;51.85719333;104.9815333;1079;2.91;6.8;35
_2_ 09.04.2016 5_24_49.gps;1100;51.85721833;104.9816583;1100;2.91;6.41;31
_2_ 09.04.2016 5_24_49.gps;1120;51.85724167;104.9817833;1120;2.91;6.63;33
_2_ 09.04.2016 5_24_49.gps;1140;51.85726333;104.98191;1140;3.16;5.88;24
_2_ 09.04.2016 5_24_49.gps;1178;51.857285;104.982035;1178;3.02;6.5;31
_2_ 09.04.2016 5_24_49.gps;1196;51.85730667;104.9821583;1196;3.08;6.61;31
_2_ 09.04.2016 5_24_49.gps;1214;51.85732833;104.98228;1214;3.08;6.52;30
_2_ 09.04.2016 5_24_49.gps;1232;51.85734833;104.9824;1232;2.97;6.19;28
_2_ 09.04.2016 5_24_49.gps;1250;51.85737;104.982525;1250;3.02;6.36;30
_2_ 09.04.2016 5_24_49.gps;1287;51.85739;104.9826483;1287;2.97;5.97;26
_2_ 09.04.2016 5_24_49.gps;1305;51.85741167;104.9827733;1305;3.11;6.22;27
_2_ 09.04.2016 5_24_49.gps;1323;51.85743167;104.9828967;1323;3.05;6.41;30
_2_ 09.04.2016 5_24_49.gps;1341;51.85745;104.9830217;1341;2.88;6.38;31
